slug	url	name	pub
poll	http://www.politico.com/interactives/2017/politico-morning-consult-poll/?lo=ap_f1	How America feels about Trump	Politico
corpTaxRates	http://www.politico.com/interactives/2017/35-percent-corporate-tax-rate-100-companies/	Trump wants to slash America’s corporate tax rate, but that rate is a myth	Politico
confederatePopulation	http://www.politico.com/interactives/2017/confederate-monuments-statues-and-symbols-in-the-south/	1,503 Confederate symbols are on display across America. Most are in the South. 179 are in majority black counties.	Politico
confederateSymbols	http://www.politico.com/interactives/2017/confederate-monuments/	Symbols of the Confederacy still dot the South	Politico
muller	http://www.politico.com/interactives/2017/trump-russia-mueller-investigation-timelines/	Midterms loom over Mueller’s Russia probe	Politico
georgiaSixth	http://www.politico.com/interactives/2017/georgia-special-election-results-2017-ossoff-handel-race/	Live results from the Georgia 6th special election	Politico
mapGuide	http://jeremycflin.github.io/maps.html	Bloomberg style guide example maps	Bloomberg
borderWallNew	https://www.bloomberg.com/graphics/2017-mexico-trump-first-line-of-defense-on-immigration/	Why Mexico is Trump’s first line of defense on immigration	Bloomberg
trumpRevealed	https://www.washingtonpost.com/graphics/politics/trump-revealed-book-reporting-archive/	‘Trump Revealed’: The reporting archive	Washington Post
maternityLeave	https://www.washingtonpost.com/news/worldviews/wp/2016/08/13/the-world-is-getting-better-at-paid-maternity-leave-the-u-s-is-not/?utm_term=.ee9205f42915	The world is getting better at paid maternity leave. The U.S. is not.	Washington Post
brexit	https://www.washingtonpost.com/news/worldviews/wp/2016/06/29/what-a-real-brexit-britain-would-look-like/?postshare=731467212368077&tid=ss_tw&utm_term=.9dc707a7a926	What a real ‘Brexit Britain’ would look like	Washington Post
fantasyFootball	https://www.washingtonpost.com/graphics/sports/fantasy-football/	The conjoined triangles of Fantasy Football success	Washington Post
embargo	http://jeremycflin.github.io/do_arms_embargoes_work/	Do arms embargoes actually work?	Class assignment
flintMap	https://www.nytimes.com/interactive/2016/02/04/us/flint-water-lead-maps.html?smid=pl-share	High lead levels were detected in nearly 400 Flint homes, and there may be more	New York Times
flintWater	https://www.nytimes.com/interactive/2016/01/15/us/flint-lead-water-michigan.html?smid=tw-share	The Rreach of lead in Flint’s water supply	New York Times
oregonProtest	https://www.nytimes.com/interactive/2016/01/07/us/oregon-standoff-western-lands.html?smid=pl-share	The Oregon protest and the battle over Western lands	New York Times
redAlert	https://www.nytimes.com/interactive/2015/12/18/world/asia/air-pollution-widespread-china-beijing-red-alert-maps-charts.html?smid=pl-share	Second red alert for Beijing: air Pollution worsens	New York Times
acaTx	https://www.texastribune.org/2015/08/06/obamacare-plans-get-special-label/	Obamacare health plans to get special label	Texas Tribune
longShore	https://media.journalism.berkeley.edu/projects/2015/20150511_port/index.html	The long shore	Class assignment
